Angle Range,LS_k0,MC_k0,LS_k1,MC_k1,LS_MSE,MC_MSE,LS_R?,MC_R?
¡À1,0.366666667,0.366645311,3.175324675,3.175289904,0.449998969,0.44999897,0.891487656,0.891487656
¡À2,0.546341463,0.546333255,3.313240418,3.313230293,0.43389972,0.43389972,0.972542314,0.972542314
¡À3,0.56557377,0.565534193,3.422210471,3.422212485,0.394892147,0.394892148,0.989240177,0.989240177
¡À4,0.535802469,0.535844993,3.423419151,3.423440224,0.427398966,0.42739897,0.993373211,0.993373211
¡À5,0.530693069,0.530657226,3.457134537,3.457137903,0.452994084,0.452994085,0.995560758,0.995560758
¡À6,0.469421488,0.469435491,3.435726866,3.435720138,0.450153922,0.450153923,0.99688392,0.99688392
¡À7,0.445390071,0.445406656,3.423489875,3.423486262,0.451068185,0.451068185,0.997682279,0.997682279
¡À8,0.421118012,0.42113973,3.377843915,3.377849143,0.542267531,0.542267532,0.997804537,0.997804537
¡À9,0.44640884,0.446438111,3.282680671,3.282682705,1.157452915,1.157452916,0.996080975,0.996080975
¡À10,0.411940299,0.411914592,3.187569085,3.187565613,1.966535596,1.966535597,0.994283991,0.994283991
¡À11,0.380090498,0.380057562,3.086848922,3.086852817,3.105374467,3.105374469,0.992056258,0.992056258
¡À12,0.370539419,0.37051644,2.980196152,2.980207303,4.751975689,4.751975696,0.989066365,0.989066365
¡À13,0.355555556,0.355617985,2.871775298,2.871790223,6.942009344,6.94200936,0.985388381,0.985388381
¡À14,0.326690391,0.326660747,2.765098595,2.765103208,9.532125435,9.532125438,0.981405223,0.981405223
¡À15,0.307973422,0.307919345,2.650574905,2.650571475,13.29377111,13.29377111,0.975550453,0.975550453
¡À16,0.299376947,0.299341727,2.528594648,2.528591458,18.56661283,18.56661283,0.96728812,0.96728812
¡À17,0.276246334,0.276277594,2.394991057,2.394990874,26.28830664,26.28830664,0.954839234,0.954839234
¡À18,0.259556787,0.259607325,2.252263,2.252270364,36.8140201,36.81402011,0.937360016,0.937360016
¡À19,0.245669291,0.245635559,2.104005789,2.104006314,50.13233282,50.13233282,0.914396252,0.914396252
¡À20,0.224189526,0.224166857,1.948907954,1.948906791,67.19338723,67.19338723,0.883376773,0.883376773
¡À21,0.207125891,0.207183404,1.788612084,1.78861966,88.28094682,88.28094683,0.842578349,0.842578349
¡À22,0.194557823,0.194593298,1.619047479,1.61904516,115.5805276,115.5805276,0.786123688,0.786123688
¡À23,0.192407809,0.192439605,1.443313397,1.443310413,149.1499541,149.1499541,0.712108215,0.712108215
¡À24,0.187941788,0.187924574,1.258315146,1.25831208,191.6875844,191.6875844,0.614278732,0.614278732
¡À25,0.182634731,0.18274966,1.068282749,1.068278158,242.3496614,242.3496614,0.496213753,0.496213753
¡À26,0.179078695,0.179052894,0.871665301,0.871670265,303.419181,303.419181,0.361607198,0.361607198
¡À27,0.170240296,0.17023903,0.664619678,0.664615976,379.9106679,379.9106679,0.220929402,0.220929402
¡À28,0.148128342,0.148079134,0.449608106,0.449611689,472.0179732,472.0179732,0.100977243,0.100977243
¡À29,0.133562823,0.133563268,0.229065324,0.229063721,579.5105241,579.5105241,0.024837289,0.024837289
¡À30,0.124292845,0.124315558,-2.56E-05,-2.56E-05,708.441007,708.441007,2.78E-10,2.78E-10
