Angle Range,LS_k1,MC_k1,LS_MSE,MC_MSE,LS_R?,MC_R?
¡À1,3.175324675,3.175315157,0.584443414,0.584443414,0.859067844,0.859067844
¡À2,3.313240418,3.313264591,0.732388714,0.732388715,0.953653578,0.953653578
¡À3,3.422210471,3.422232413,0.714765836,0.714765838,0.98052442,0.98052442
¡À4,3.423419151,3.423409489,0.714483252,0.714483252,0.98892199,0.98892199
¡À5,3.457134537,3.457113728,0.734629217,0.734629221,0.992800796,0.992800796
¡À6,3.435726866,3.435747928,0.670510455,0.670510461,0.995358557,0.995358557
¡À7,3.423489875,3.423507802,0.6494405,0.649440506,0.996662983,0.996662983
¡À8,3.377843915,3.377834676,0.719607911,0.719607913,0.997086544,0.997086544
¡À9,3.282680671,3.282705583,1.356733767,1.356733784,0.995406229,0.995406229
¡À10,3.187569085,3.18757661,2.136230405,2.136230407,0.993790749,0.993790749
¡À11,3.086848922,3.086858829,3.249843253,3.249843257,0.991686698,0.991686698
¡À12,2.980196152,2.98020157,4.88927515,4.889275152,0.988750458,0.988750458
¡À13,2.871775298,2.871741846,7.068429097,7.068429161,0.985122292,0.985122292
¡À14,2.765098595,2.765065351,9.638852047,9.63885212,0.981197026,0.981197026
¡À15,2.650574905,2.650602339,13.38861873,13.38861879,0.975376012,0.975376012
¡À16,2.528594648,2.528566165,18.65623938,18.65623945,0.96713021,0.96713021
¡À17,2.394991057,2.395011004,26.36461868,26.36461872,0.954708137,0.954708137
¡À18,2.252263,2.252254819,36.88138982,36.88138983,0.937245385,0.937245385
¡À19,2.104005789,2.10398425,50.19268622,50.19268628,0.914293196,0.914293196
¡À20,1.948907954,1.948929431,67.24364818,67.24364824,0.883289538,0.883289538
¡À21,1.788612084,1.788625319,88.32384795,88.32384798,0.842501849,0.842501849
¡À22,1.619047479,1.619059422,115.6183803,115.6183803,0.786053644,0.786053643
¡À23,1.443313397,1.443340599,149.1869749,149.186975,0.712036756,0.712036756
¡À24,1.258315146,1.258303375,191.7229065,191.7229065,0.614207655,0.614207655
¡À25,1.068282749,1.068296085,242.3830168,242.3830168,0.496144415,0.496144415
¡À26,0.871665301,0.871675647,303.4512502,303.4512502,0.361539724,0.361539724
¡À27,0.664619678,0.664635233,379.9396496,379.9396497,0.22086997,0.22086997
¡À28,0.449608106,0.449599886,472.0399152,472.0399152,0.100935452,0.100935452
¡À29,0.229065324,0.229069908,579.5283631,579.5283632,0.024807271,0.024807271
¡À30,-2.56E-05,-2.50E-05,708.4564557,708.4564557,-2.18E-05,-2.18E-05
