Angle Range,LS_k0,MC_k0,LS_k1,MC_k1,LS_k2,MC_k2,LS_MSE,MC_MSE,LS_R?,MC_R?
¡À1,0.366666667,0.366664947,2.521958442,2.521958676,0.992957801,0.992968917,0.420749269,0.42074927,0.898540902,0.898540902
¡À2,0.546341463,0.546308551,3.144246048,3.144265986,0.067114524,0.0671093,0.426321737,0.426321738,0.973021857,0.973021857
¡À3,0.56557377,0.565537537,3.322449601,3.322416463,0.017884702,0.017886106,0.389028755,0.389028759,0.98939994,0.98939994
¡À4,0.535802469,0.535707013,3.458048257,3.457141854,-0.003519934,-0.003427964,0.426151887,0.426152748,0.993392547,0.993392533
¡À5,0.530693069,0.530735855,3.441341333,3.441306248,0.001032371,0.001033104,0.452590582,0.452590589,0.995564712,0.995564712
¡À6,0.469421488,0.469381335,3.472632331,3.473008582,-0.00168073,-0.001698438,0.446990664,0.446991019,0.996905817,0.996905815
¡À7,0.445390071,0.445261557,3.465124402,3.464841247,-0.001396288,-0.001387202,0.445600531,0.445600782,0.997710373,0.997710372
¡À8,0.421118012,0.421107192,3.52181577,3.521796144,-0.00370317,-0.003702756,0.457014466,0.457014467,0.998149698,0.998149698
¡À9,0.44640884,0.446394633,3.619657812,3.619674533,-0.006857771,-0.006858033,0.567124431,0.567124432,0.998079771,0.998079771
¡À10,0.411940299,0.411935775,3.641301266,3.641278879,-0.007487577,-0.007487263,0.646607149,0.646607152,0.998120546,0.998120546
¡À11,0.380090498,0.380111718,3.651081454,3.651091787,-0.007701992,-0.007702249,0.637760369,0.637760375,0.998368569,0.998368569
¡À12,0.370539419,0.370603301,3.650677315,3.650670583,-0.007696241,-0.007696178,0.608193663,0.608193667,0.998600631,0.998600631
¡À13,0.355555556,0.355522267,3.637864361,3.637860584,-0.007497593,-0.007497597,0.596894579,0.596894581,0.99874365,0.99874365
¡À14,0.326690391,0.326721309,3.607793069,3.607784969,-0.007115068,-0.00711501,0.632718932,0.632718933,0.998765725,0.998765725
¡À15,0.307973422,0.307988641,3.58811899,3.588098421,-0.006898881,-0.006898758,0.654236096,0.654236101,0.998796747,0.998796747
¡À16,0.299376947,0.299406795,3.57531562,3.575323414,-0.006772351,-0.006772395,0.64850988,0.648509882,0.998857413,0.998857413
¡À17,0.276246334,0.276239005,3.573787374,3.573798804,-0.006758456,-0.006758476,0.642823301,0.642823307,0.998895692,0.998895692
¡À18,0.259556787,0.259545703,3.57472667,3.574728479,-0.006765281,-0.006765265,0.638877617,0.63887762,0.998912934,0.998912934
¡À19,0.245669291,0.245664431,3.569651337,3.569656748,-0.006731235,-0.006731221,0.639833708,0.639833716,0.998907448,0.998907448
¡À20,0.224189526,0.224133902,3.563803761,3.563793993,-0.006695312,-0.006695265,0.633588346,0.633588352,0.998900322,0.998900322
¡À21,0.207125891,0.207165129,3.553627871,3.553620051,-0.006638942,-0.006638906,0.641836412,0.641836416,0.998855484,0.998855484
¡À22,0.194557823,0.194597939,3.54866719,3.548668567,-0.006614675,-0.006614682,0.643690826,0.643690828,0.998808881,0.99880888
¡À23,0.192407809,0.173904213,3.541562965,3.541467461,-0.006582166,-0.006581936,0.639675651,0.640018303,0.998765287,0.998764626
¡À24,0.187941788,0.187341144,3.539297178,3.539298336,-0.006572715,-0.006572692,0.624928037,0.624928418,0.998742495,0.998742495
¡À25,0.182634731,0.172897432,3.53145985,3.531421427,-0.006542338,-0.006542309,0.631083841,0.631178819,0.99868813,0.998687932
¡À26,0.179078695,0.179068979,3.522634492,3.522637107,-0.00651091,-0.006510926,0.637688776,0.637688781,0.998658305,0.998658305
¡À27,0.170240296,0.170216944,3.521925782,3.521928476,-0.006508403,-0.0065084,0.63614609,0.636146094,0.998695476,0.998695476
¡À28,0.148128342,0.148130835,3.521436672,3.521435352,-0.006507036,-0.006507024,0.643301282,0.643301288,0.998774745,0.998774745
¡À29,0.133562823,0.133561222,3.515980578,3.515987596,-0.006491544,-0.006491551,0.646284716,0.64628472,0.998912474,0.998912474
¡À30,0.124292845,0.124323407,3.513600794,3.513603154,-0.006485122,-0.00648513,0.644634318,0.644634321,0.999090066,0.999090066
