Angle Range,LS_k1,MC_k1,LS_k2,MC_k2,LS_MSE,MC_MSE,LS_R?,MC_R?
¡À1,2.521958442,2.521963735,0.992957801,0.992927802,0.555193714,0.555193714,0.86612109,0.86612109
¡À2,3.144246048,3.144244742,0.067114524,0.067112695,0.724810731,0.724810732,0.954133122,0.954133122
¡À3,3.322449601,3.322463708,0.017884702,0.017887087,0.708902445,0.708902448,0.980684182,0.980684182
¡À4,3.458048257,3.458087201,-0.003519934,-0.003523323,0.713236173,0.713236175,0.988941326,0.988941326
¡À5,3.441341333,3.441359109,0.001032371,0.001032673,0.734225716,0.73422572,0.99280475,0.99280475
¡À6,3.472632331,3.472673418,-0.00168073,-0.001682324,0.667347197,0.667347201,0.995380454,0.995380454
¡À7,3.465124402,3.465152824,-0.001396288,-0.001397276,0.643972847,0.643972849,0.996691078,0.996691078
¡À8,3.52181577,3.521836933,-0.00370317,-0.003703429,0.634354846,0.63435485,0.997431705,0.997431705
¡À9,3.619657812,3.619677151,-0.006857771,-0.006857874,0.766405283,0.766405289,0.997405025,0.997405025
¡À10,3.641301266,3.641260374,-0.007487577,-0.007486981,0.816301959,0.816301968,0.997627305,0.997627305
¡À11,3.651081454,3.651047321,-0.007701992,-0.00770163,0.782229155,0.782229163,0.997999009,0.997999009
¡À12,3.650677315,3.650703166,-0.007696241,-0.007696345,0.745493124,0.745493138,0.998284724,0.998284724
¡À13,3.637864361,3.637827168,-0.007497593,-0.007497318,0.723314332,0.723314346,0.99847756,0.99847756
¡À14,3.607793069,3.60779044,-0.007115068,-0.007114826,0.739445543,0.739445598,0.998557528,0.998557528
¡À15,3.58811899,3.588111681,-0.006898881,-0.006898709,0.749083724,0.749083751,0.998622305,0.998622305
¡À16,3.57531562,3.575366482,-0.006772351,-0.006772368,0.738136437,0.738136636,0.998699503,0.998699502
¡À17,3.573787374,3.573775841,-0.006758456,-0.006758319,0.719135338,0.719135363,0.998764595,0.998764595
¡À18,3.57472667,3.574767685,-0.006765281,-0.006765413,0.706247342,0.706247381,0.998798302,0.998798302
¡À19,3.569651337,3.569675537,-0.006731235,-0.006731244,0.700187108,0.700187168,0.998804392,0.998804391
¡À20,3.563803761,3.563764866,-0.006695312,-0.006695153,0.683849289,0.683849327,0.998813087,0.998813087
¡À21,3.553627871,3.553662436,-0.006638942,-0.006638992,0.684737546,0.684737617,0.998778983,0.998778983
¡À22,3.54866719,3.548635234,-0.006614675,-0.006614596,0.681543573,0.681543602,0.998738836,0.998738836
¡À23,3.541562965,3.541583002,-0.006582166,-0.00658219,0.676696416,0.676696444,0.998693829,0.998693829
¡À24,3.539297178,3.539299773,-0.006572715,-0.006572654,0.660250153,0.66025028,0.998671419,0.998671419
¡À25,3.53145985,3.531468291,-0.006542338,-0.006542377,0.664439286,0.664439303,0.998618792,0.998618792
¡À26,3.522634492,3.522607954,-0.00651091,-0.006510864,0.669757955,0.669757984,0.998590832,0.998590832
¡À27,3.521925782,3.521921745,-0.006508403,-0.006508433,0.665127848,0.665127929,0.998636044,0.998636044
¡À28,3.521436672,3.521417563,-0.006507036,-0.006506983,0.665243287,0.665243327,0.998732953,0.998732953
¡À29,3.515980578,3.516005595,-0.006491544,-0.006491553,0.664123744,0.66412386,0.998882456,0.998882455
¡À30,3.513600794,3.513627658,-0.006485122,-0.006485152,0.660083029,0.66008308,0.99906826,0.99906826
